Date,Winner,Loser,Location
9-10-2019,Irem,Nick,40 inside
9-11-2019,Nick,Irem,40 outside
9-11-2019,Irem,Karthik,40 inside
9-11-2019,Nick,Irem,40 inside
9-11-2019,Nick,Karthik,40 inside
9-17-2019,Matt,Nick,40 inside
9-17-2019,Matt,Irem,40 inside
9-17-2019,Nick,Irem,40 inside
9-17-2019,Matt,Nick,40 inside
9-17-2019,Irem,Nick,40 inside
9-17-2019,Karthik,Irem,40 inside
9-17-2019,Karthik,Nick,40 inside
9-17-2019,Karthik,Matt,40 inside
9-17-2019,Nick,Irem,40 inside
9-17-2019,Nick,Karthik,40 inside
9-17-2019,Irem,Karthik,40 inside
9-19-2019,Karthik,Sandip,
9-19-2019,Nick,Irem,
9-19-2019,Irem,Sandip,
9-19-2019,Karthik,Nick,
9-19-2019,Karthik,Irem,
9-20-2019,Nick,Irem,